i,j,shared_len
187,1261,123.24196253931231
187,1244,0.004069865001059111
187,1009,13.725545481250967
187,587,0
188,275,10.111226434028275
188,432,0
188,282,10.44030650891055
188,1073,2.503345460749011
188,281,1.8822146321185471
189,1301,0
189,1007,0
189,1321,21.37755832643195
190,264,40.45524958725364
191,137,0
191,821,63.29588064588225
191,957,15.697841765117515
192,523,73.52810128633297
192,765,12.458198421840361
193,91,0
193,1186,42.79126760923415
193,777,20.78075410365835
193,559,0.006003277708379693
194,1479,131.27134130594416
194,1239,0
195,1199,17.072617183625926
196,2,0
196,4,48.38388161361178
196,123,0
196,1322,14.165135011249022
196,8,15.844684717848988
196,1500,1.8901450333669616
197,85,91.06514928987318
197,1156,0
198,1201,21.095023109728988
198,563,0
198,50,0
199,1183,0
199,917,59.481089431852205
200,1493,102.53907363644731
200,615,5.761685955414743
200,1162,9.788398165077913
201,393,0
201,1302,100.27078400486967
201,1024,0.00442130527937781
202,1263,99.85682289978412
202,1631,5.297047862613923
202,1001,0
202,188,0
202,143,8.027118686898987
203,499,56.468424386226125
203,263,83.52241867565837
203,217,20.27295637242644
204,1465,38.99215168957491
205,43,196.47662393194543
205,16,0
206,1543,0.004097323686490227
206,1559,18.673558483298237
206,1558,7.838797835100935
206,1580,13.390493479321185
206,1570,8.596006258356844
206,1564,16.391447178469868
206,1563,12.199233229917969
206,1578,11.877916520162131
206,1544,0
207,1319,36.319219849078216
207,1067,0
207,1087,0
207,1216,0
208,971,9.546627281616056
208,961,45.880278987817846
208,119,0
209,1172,39.885928719952496
209,1130,0
210,198,37.65466572885981
211,134,0
211,293,28.284271247461902
211,47,0
212,986,46.99910637451828
212,1268,0
213,1281,30.364452901377952
213,190,0
214,1208,16.790781558698306
214,331,77.35579467785942
215,180,0
215,214,205.7668583615933
216,545,8.514074249988798
216,1348,11.244530934891877
216,1093,0
216,1441,16.462935732669578
216,1,0
217,1607,28.795603149767906
217,1188,20.143900584447863
217,902,18.046992960220006
217,1091,27.66541206730208
217,823,0
217,344,7.6670000000158325
217,451,9.126340175378282
218,269,47.22723658848677
218,321,0
219,234,0
219,901,8.751120931132771
219,605,4.771582862871929
219,880,0.23978432297748822
219,884,4.3020547791640364
219,1217,40.17580215847326
219,1216,0
220,92,NA
221,1469,0
221,166,5.500365832572321
221,82,0.0021026204421813978
222,1452,0
222,735,2.8623854028942817
222,1269,7.419606808440801
222,1270,16.544127843542967
222,403,35.82372724762172
222,1136,0
223,1240,133.92908571329832
224,1088,70.36859952202748
225,336,54.477712373928185
225,112,0
226,775,16
226,1365,4
226,1167,17
226,547,14
227,1298,0
227,993,60.07495318350236
228,1334,0
228,1308,24.992083756298126
228,1426,24.13672266054298
228,238,0
228,1019,0
229,1545,9.008014854404937
229,807,58.034997288445474
229,434,9.806240822634924
229,1503,0.0014001428919134648
230,1424,0
230,932,17.096944426006274
230,454,31.527916007854625
230,455,36.47445498978416
230,589,33.31460280981
230,827,26.95882159780364
230,472,0.003208832522745417
230,691,2.932875389067241
231,472,18.016566183230662
231,640,10.411891255408516
231,724,11.34509602928906
231,666,15.788731378619035
231,591,21.889164674060954
231,816,17.240380185845332
231,892,8.10927874770419
231,888,11.941098405726793
231,756,9.52993858806731
231,771,22.253904371438345
231,601,23.420056538206634
231,682,14.008474280105085
231,824,27.232121242722066
231,1100,9.277014799966778
231,1104,0.002209077329486429
232,280,2.108185106766648
232,168,5.968966489293831
232,1234,0
232,169,6.341248127322498
233,189,85.86617494683223
233,292,6.7789085484396185
234,1263,0
234,1618,2.348140981734431
234,1001,19.47603655960531
234,1585,26.218975450823386
234,885,0
234,890,0
235,1326,0
235,94,26.570660511172846
235,287,0
236,109,33.02462988687264
236,1328,22.496341884776733
237,345,28.57545176579611
237,815,24.702448441641465
